review_id,source_platform,community_id,thread_id,source_item_id,url,model_id,provider_id,product_id,inference_profile,task_category,aspect_category,evidence_type,claim_type,polarity_score,extractor_confidence,firsthand_flag,regression_flag,hallucination_flag,refusal_flag,value_flag,evidence_text,reviewed_flag,human_excluded_from_scoring,human_exclusion_reason,human_provider_id,human_model_id,human_product_id,human_inference_profile,human_task_category,human_aspect_category,human_evidence_type,human_polarity_score,human_firsthand_flag,human_notes
6492f91d91e649d6a87a548bd61871b9,hacker_news,hacker_news,48315680,48315680,https://news.ycombinator.com/item?id=48315680,claude,anthropic,,,general,satisfaction,firsthand_usage,praise,1,0.8200000000000001,True,False,False,False,False,I've been using it for a while to develop internal tools and I've been really impressed at how you can build complex applications with just pure HTML/CSS/JS Previously I'd use React but now its not as clear to me the reason I would do that since either way I would just be developing through Claude. It feels almost like the framework is just an implementation detail. I find myself using a lot less libraries in general as well.,true,false,,anthropic,claude,claude-code,,coding,satisfaction,firsthand_usage,1,true,assistant_pseudo_reviewed_with_full_context
6453acd713aa4f66b91f2139c7c98bc0,hacker_news,hacker_news,48311647,48313432,https://news.ycombinator.com/item?id=48313432,claude-opus-4.8,anthropic,,ultracode,coding,satisfaction,benchmark_anecdote,praise,2,0.83,True,False,False,False,False,"My fav coding benchmark for frontier models is to build a simple RTS game in one file (js/html/css). Claude Code with Opus 4.8 in ultracode mode nailed it, the best result so far: The prompt was: Create a simple but functional real time strategy (RTS) game similar to old WarCraft, StarCraft or Command & Conquer games. The player should be able to build buildings, create units, gather resources and should uncover the whole map.",true,false,,anthropic,claude-opus-4.8,claude-code,ultracode,coding,task_fit,benchmark_anecdote,2,true,assistant_pseudo_reviewed_with_full_context
a8e0651051114ef5baa2d68df6a5da8c,hacker_news,hacker_news,48311647,48313432,https://news.ycombinator.com/item?id=48313432,claude-opus-4.8,anthropic,,ultracode,research,satisfaction,benchmark_anecdote,praise,2,0.83,True,False,False,False,False,"My fav coding benchmark for frontier models is to build a simple RTS game in one file (js/html/css). Claude Code with Opus 4.8 in ultracode mode nailed it, the best result so far: The prompt was: Create a simple but functional real time strategy (RTS) game similar to old WarCraft, StarCraft or Command & Conquer games. The player should be able to build buildings, create units, gather resources and should uncover the whole map.",true,false,,anthropic,claude-opus-4.8,claude-code,ultracode,coding,task_fit,benchmark_anecdote,2,true,assistant_pseudo_reviewed_with_full_context
d8608fa9ce064c52b7aa5071e5c6766e,hacker_news,hacker_news,48308376,48319718,https://news.ycombinator.com/item?id=48319718,claude,anthropic,,,general,satisfaction,firsthand_usage,complaint,-1,0.74,True,False,False,False,False,"I was so tired of all those approvals that I switched to Yolo mode exclusively. Claude works in his own separate vm with root access, git remote set to my local copies of repository no github access etc. I think he could still hurt me if he really wanted, but most scary stories I heard were about LLM making really bad judgements rather than actively trying to break out and do harm.",true,false,,anthropic,claude,,,agents,trust_reliability,firsthand_usage,-1,true,assistant_pseudo_reviewed_with_full_context
88873392abcd4ed1a2e05138c721bacb,hacker_news,hacker_news,48308376,48319718,https://news.ycombinator.com/item?id=48319718,claude,anthropic,,,general,trust_reliability,firsthand_usage,complaint,-1,0.74,True,False,False,False,False,"I was so tired of all those approvals that I switched to Yolo mode exclusively. Claude works in his own separate vm with root access, git remote set to my local copies of repository no github access etc. I think he could still hurt me if he really wanted, but most scary stories I heard were about LLM making really bad judgements rather than actively trying to break out and do harm.",true,false,,anthropic,claude,,,agents,trust_reliability,firsthand_usage,-1,true,assistant_pseudo_reviewed_with_full_context
bd8c356e11d24cd988e7f2e1505f4e2d,hacker_news,hacker_news,48296794,48303838,https://news.ycombinator.com/item?id=48303838,claude,anthropic,claude-code,,coding,satisfaction,firsthand_usage,praise,1,0.74,True,False,False,False,False,Ive built a tool on top of claude code that does ~60% of my job. Ive run data analysis on company financials for forecasting that have been refined and are producing very accurate predictions. Ive built competitive analysis tools and trackers.,true,false,,anthropic,claude,claude-code,,coding,satisfaction,firsthand_usage,2,true,assistant_pseudo_reviewed_with_full_context
c9ac898cc8124cc0a84cddfb1ce1d9c0,hacker_news,hacker_news,48296794,48303838,https://news.ycombinator.com/item?id=48303838,claude,anthropic,claude-code,,data_analysis,satisfaction,release_update_reaction,praise,2,0.6799999999999999,False,False,False,False,False,"Ive built 2 browser games, one already released to great reviews and 100k+ hours played. Ive built a tool on top of claude code that does ~60% of my job. Ive run data analysis on company financials for forecasting that have been refined and are producing very accurate predictions.",true,false,,anthropic,claude,claude-code,,data_analysis,satisfaction,firsthand_usage,2,true,assistant_pseudo_reviewed_with_full_context
5565989f6cdf49c89659b5c0ae88bbec,hacker_news,hacker_news,48296794,48303838,https://news.ycombinator.com/item?id=48303838,claude,anthropic,claude-code,,data_analysis,satisfaction,firsthand_usage,praise,1,0.74,True,False,False,False,False,Ive built a tool on top of claude code that does ~60% of my job. Ive run data analysis on company financials for forecasting that have been refined and are producing very accurate predictions. Ive built competitive analysis tools and trackers.,true,false,,anthropic,claude,claude-code,,coding,satisfaction,firsthand_usage,2,true,assistant_pseudo_reviewed_with_full_context
23ad94cffc9c4e11807f2e1644e4c7b0,hacker_news,hacker_news,48311705,48313077,https://news.ycombinator.com/item?id=48313077,claude-opus-4.7,anthropic,,,agents,satisfaction,firsthand_usage,praise,2,0.89,True,False,False,False,False,"I tried this out yesterday - lucky enough to have access through EAP at work. The workflows that are generated are quite good - smart parallelisation and phasing. End results for larger chunks of work are also much better, which I attribute to more of the work having clean context windows (Opus 4.7 is unusable past 200k conversation length, and each subagent ends up using less than that IME).",true,false,,anthropic,claude-opus-4.7,,,agents,task_fit,firsthand_usage,2,true,assistant_pseudo_reviewed_with_full_context
2cbfc003b78942228eced3575cec5d32,hacker_news,hacker_news,48311705,48313077,https://news.ycombinator.com/item?id=48313077,claude-opus-4.7,anthropic,,,long_context,satisfaction,firsthand_usage,praise,2,0.89,True,False,False,False,False,"I tried this out yesterday - lucky enough to have access through EAP at work. The workflows that are generated are quite good - smart parallelisation and phasing. End results for larger chunks of work are also much better, which I attribute to more of the work having clean context windows (Opus 4.7 is unusable past 200k conversation length, and each subagent ends up using less than that IME).",true,false,,anthropic,claude-opus-4.7,,,agents,task_fit,firsthand_usage,2,true,assistant_pseudo_reviewed_with_full_context
